state,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,weight
Michigan,492446.92125766934,75.71522563978364,13.744177363364816,4.7870852506660215,24.28477436021636,6.382517962379913,50.85689634294017,38.78737789618148,15.416343747477201,51729.19172176475,8.631949734128739,10.115212070066612,72.42062483770597,8.376265564548,70.75641950665525,25.312292016010186,2.3980639985468635,0.06796906668239797
Minnesota,301843.9280055947,81.3151960385025,5.602832429624042,5.063890741804792,18.6848039614975,7.827945934482351,50.28026728953995,39.520769903068654,14.298731871694558,64828.628492929936,4.857692442766178,7.368503598629826,65.73545078639964,4.710950483423512,63.374403428213405,26.1906464185959,2.409701537443211,0.07720671760989666
Mississippi,63365.54234221154,57.21030967565818,37.380904271120755,2.900583167625232,42.78969032434183,2.2524481532133103,51.4829090938287,41.34267721845903,14.272485675058677,41085.151999269365,9.774329599972459,17.004568021535906,78.79834835571558,12.531194209085266,74.00476646467777,50.19970449281711,4.243119210810145,0.028753784629300835
Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,55336.61038156482,86.83240325545172,0.3857763064166088,3.4044661326902426,13.167596744548275,2.043402765902768,49.75615380631644,37.977664450830616,16.69625783302765,48641.952292916394,5.747743350731864,7.098603569831277,69.90788688221231,6.337025584181563,68.71596173710218,43.82905741106921,5.113022295486281,0.07010794249021925
Nebraska,161300.11561672264,80.33726350279254,4.566675827198688,10.195406374135617,19.66273649720747,6.725974467098893,50.24954033442499,41.555894217648934,14.431718333307625,55183.661282152,4.171914799087351,9.317467288041033,69.77940506219814,5.385463517532509,67.38295259982867,26.022070815574338,3.61600343174438,0.12308021297010147
Nevada,1036801.2909379918,51.26522803127113,8.222115461831816,27.84251887522135,48.73477196872888,19.29069461096401,49.76274773067644,39.53473054820205,14.118728981548154,53275.58368460945,9.329412602917246,14.603364842333518,76.80672726727222,7.044529525837907,72.21779272844695,5.624207224920119,1.579589753632397,0.5573391020603282
New Hampshire,180266.6431299967,91.24431357217274,1.1725020583757633,3.2768287529293727,8.755686427827278,5.805109291655085,50.54572381380684,35.69189674147628,15.848175107702195,69517.37589896219,5.068802475763658,7.433603403088269,64.48862663077152,6.87242797806917,64.50242590521857,39.52686305803296,2.735276681107312,0.17842824170346905
New Jersey,387404.02296921215,56.694923961264585,12.718564255154199,19.29044347254924,43.30507603873541,21.797404417676443,51.20237259877677,37.82967466835123,14.719280763653586,74686.16173810964,7.8822285696984205,11.15012289208938,62.62344984962161,6.849798307377756,57.395617088230004,5.210111389050268,1.1407127128438523,0.06461307151268736
New Mexico,201535.6656338573,38.68127868614743,1.7918353804661231,47.81513529034139,61.31872131385257,9.667546787319528,50.47508749590068,40.76168608645924,15.282601315907627,46241.300113940335,8.589312144886973,15.622101987289295,73.66452535441202,5.747455952331034,60.86946942488463,22.30196988001941,3.402444171397375,0.13716923682561247
New York,816383.623699242,56.40989088083807,14.366742874473589,18.59087190798284,43.59010911916193,22.552388361604233,51.490540124037324,38.88726346756335,14.691241615605515,64021.3352788129,7.576843339070743,14.154357486054693,65.53946738044196,7.919175857881476,56.8815324444977,11.834957587020892,1.4480257527659535,0.06354114504102781
North Carolina,235438.33506675702,63.99303961400398,21.171244487883715,8.900294824535742,36.00696038599602,7.722254122091238,51.36630469815996,39.34217552099282,14.680165475149552,49484.63325419171,8.442359616409313,13.596101944222953,70.8034565076113,9.372488724829001,66.02853855951646,33.09513165247723,2.4879331983211057,0.034053906846552066
North Dakota,51711.818037334175,86.37147801706689,1.9685884356975776,3.1239047926950856,13.6285219829331,3.3095976157421867,48.79129865437227,42.79696588522634,14.228525786443747,59707.089780510265,2.8163601924135135,7.893647092508035,71.581309200083,6.873137044897116,70.69921512468123,39.44780072702206,5.169522469239108,0.09347676075237742
Ohio,356654.56036800396,79.96176902946169,12.103479253066016,3.4602057609510575,20.038230970538304,4.183226616930216,51.03200232054345,38.738783601297364,15.503116827815036,51449.17500581042,7.282254862956425,10.511998021643377,73.22459300408227,9.073319101561637,71.27439278863717,21.923818854534726,2.130536696441278,0.041355965219487645
